,display_text_width,favorite_count,retweet_count,followers_count,friends_count,polarity,subjectivity,time
9645,31,1,0,1329.0,747.0,0.0,0.0,8031
9646,60,1,0,1760.0,676.0,0.2166666666666666,0.6166666666666667,7325
9647,189,0,0,1040.0,823.0,-0.0138888888888888,0.425,8028
9648,37,5,0,1143.0,638.0,0.4333333333333333,0.8333333333333334,8027
9649,72,0,0,430.0,986.0,-0.5,1.0,8027
9650,57,3,0,59.0,209.0,-0.1,0.35,8027
9651,106,0,0,1541.0,1971.0,0.0,0.0,8024
9652,83,0,0,1811.0,416.0,0.0,0.0,8021
9653,84,19,5,7.0,110.0,0.5,0.5,4327
9654,96,0,0,227.0,291.0,0.4333333333333333,0.6999999999999998,8020
9655,25,0,0,665.0,533.0,0.0,0.0,6493
9656,98,0,0,2536.0,396.0,0.0,0.0,7892
9657,119,0,0,160.0,243.0,0.4333333333333333,0.8333333333333334,3662
9658,64,0,0,303.0,255.0,-0.2,0.6,8017
9659,159,1,0,245.0,164.0,0.0083333333333333,0.5083333333333333,8017
9660,81,1,0,672.0,327.0,0.1363636363636363,0.4545454545454545,8016
9661,72,1,0,1066.0,293.0,0.25,0.3333333333333333,8016
9662,61,0,0,1565.0,1077.0,0.0,0.0,8014
9663,91,0,0,1788.0,989.0,0.0,0.0,7605
9664,145,5,1,298.0,694.0,0.0541666666666666,0.1166666666666666,8011
9665,122,5,2,548.0,283.0,0.1953125,0.0333333333333333,7125
9666,96,8,1,887.0,308.0,0.1,0.25,8010
9667,47,0,0,518.0,256.0,0.0,0.0,8009
9668,85,2,0,83.0,76.0,0.25,0.3333333333333333,8005
9669,44,1,0,6695.0,788.0,0.4333333333333333,0.8333333333333334,8002
9670,81,1,0,1403.0,209.0,-0.2,0.2,8000
9671,75,0,0,0.0,0.0,0.125,0.1666666666666666,8000
9672,136,1,0,119.0,246.0,0.0527777777777777,0.3583333333333333,7999
9673,79,0,0,390.0,328.0,0.4777777777777778,0.6111111111111112,7996
9674,22,1,0,2057.0,601.0,0.0,0.0,7992
9675,254,1,0,191.0,230.0,0.2125,0.3847222222222222,7989
9676,58,0,0,372.0,118.0,0.0666666666666666,0.0666666666666666,7987
9677,44,0,0,31.0,822.0,0.4333333333333333,0.8333333333333334,7986
9678,81,1,0,344.0,338.0,0.0,0.0,3559
9679,27,0,0,1086.0,2153.0,0.0,0.0,7985
9680,42,0,0,304.0,623.0,0.0,0.0,7983
9681,135,2,0,518.0,328.0,0.25,0.2,7981
9682,102,0,0,16756.0,1604.0,0.0,0.0,7971
9683,52,0,0,879.0,264.0,0.7,0.6000000000000001,7969
9684,55,4,0,469.0,958.0,0.175,0.4,7967
9685,139,1,0,540.0,2417.0,0.1333333333333333,0.2916666666666667,7967
9686,36,0,0,1462.0,1266.0,0.0,0.0,7967
9687,28,0,0,14.0,24.0,0.0,0.0,1467
9688,90,0,0,166.0,428.0,-0.1458333333333333,0.4708333333333333,7964
9689,155,0,0,16066.0,1684.0,-0.0416666666666666,0.2770833333333333,7964
9690,114,0,0,1050.0,2413.0,-0.0104166666666666,0.21875,7869
9691,110,1,0,330.0,272.0,0.7,0.6000000000000001,7963
9692,51,0,0,87.0,175.0,0.0,0.0,4070
9693,44,0,0,462.0,556.0,0.0,0.0,7962
9694,82,1,0,7315.0,2370.0,0.7,0.6000000000000001,7962
9695,34,2,1,1033.0,444.0,0.0,0.0,7955
9696,62,2,0,149.0,137.0,0.2,0.5,7955
9697,102,0,0,1450.0,492.0,0.675,0.75,7954
9698,52,3,0,427.0,428.0,0.0,0.0,7953
9699,76,1,0,1218.0,0.0,0.0,0.0,2447
9700,217,0,0,274.0,249.0,0.0,0.0,4311
9701,29,2,0,1372.0,690.0,0.0,0.0,7951
9702,44,5,0,237.0,444.0,0.1,0.1,7950
9703,140,1,0,3095.0,560.0,0.2083333333333333,0.1999999999999999,7949
9704,86,0,0,229.0,329.0,0.0666666666666666,0.0666666666666666,7948
9705,218,0,0,1662.0,5001.0,-0.0416666666666666,0.125,7946
9706,111,4,0,122.0,232.0,0.4333333333333333,0.8333333333333334,7946
9707,22,0,0,39.0,85.0,0.0,0.0,7945
9708,40,1,0,77.0,116.0,0.1,0.3,7944
9709,51,12,0,156.0,560.0,0.35,0.3,7420
9710,34,2,0,307.0,442.0,0.0,0.0,7942
9711,84,1,0,329.0,315.0,0.0,0.0,7941
9712,48,1,0,108.0,668.0,0.0,0.0,5651
9713,42,2,0,24.0,99.0,-0.375,0.4,7940
9714,124,2,0,116.0,380.0,0.2125,0.25,7938
9715,59,1,0,616.0,932.0,0.0681818181818181,0.2272727272727272,7938
9716,62,0,0,61.0,131.0,0.0,0.0,7936
9717,45,1,0,281.0,998.0,0.0,0.0,7929
9718,22,0,0,101.0,98.0,0.0,0.0,7848
9719,25,0,0,4408.0,1493.0,0.7,0.6000000000000001,7821
9720,182,0,0,29.0,439.0,0.4333333333333333,0.8333333333333334,7929
9721,29,0,0,62.0,303.0,0.1666666666666666,0.1666666666666666,7928
9722,125,0,0,229.0,237.0,0.0,0.0,7927
9723,15,3,0,4871.0,2541.0,0.0,0.0,7925
9724,121,0,0,483.0,1043.0,0.0,0.4,7924
9725,78,3,0,1407.0,438.0,0.1363636363636363,0.4545454545454545,7923
9726,141,7,4,178.0,88.0,0.4333333333333333,0.8333333333333334,7922
